threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.053,113,0.352,0.9875,0.9523,0.9171
0.0535,113,0.352,0.9875,0.9523,0.9171
0.054,111,0.3458,0.9875,0.953,0.9184
0.0545,109,0.3396,0.9875,0.9536,0.9196
0.055,109,0.3396,0.9875,0.9536,0.9196
0.0555,109,0.3396,0.9875,0.9536,0.9196
0.056,108,0.3364,0.9875,0.9539,0.9202
0.0565,108,0.3364,0.9875,0.9539,0.9202
0.057,108,0.3364,0.9875,0.9539,0.9202
0.0575,105,0.3271,0.9844,0.9517,0.919
0.058,105,0.3271,0.9844,0.9517,0.919
0.0585,105,0.3271,0.9844,0.9517,0.919
0.059,105,0.3271,0.9844,0.9517,0.919
0.0595,105,0.3271,0.9844,0.9517,0.919
0.06,104,0.324,0.9844,0.952,0.9196
0.0605,102,0.3178,0.9844,0.9526,0.9209
0.061,102,0.3178,0.9844,0.9526,0.9209
0.0615,102,0.3178,0.9844,0.9526,0.9209
0.062,102,0.3178,0.9844,0.9526,0.9209
0.0625,102,0.3178,0.9844,0.9526,0.9209
0.063,101,0.3146,0.9844,0.953,0.9215
0.0635,100,0.3115,0.9844,0.9533,0.9221
0.064,100,0.3115,0.9844,0.9533,0.9221
0.0645,100,0.3115,0.9844,0.9533,0.9221
0.065,100,0.3115,0.9844,0.9533,0.9221
0.0655,100,0.3115,0.9844,0.9533,0.9221
0.066,100,0.3115,0.9844,0.9533,0.9221
0.0665,100,0.3115,0.9844,0.9533,0.9221
0.067,99,0.3084,0.9844,0.9536,0.9227
0.0675,99,0.3084,0.9844,0.9536,0.9227
0.068,98,0.3053,0.9844,0.9539,0.9234
0.0685,98,0.3053,0.9844,0.9539,0.9234
0.069,98,0.3053,0.9844,0.9539,0.9234
0.0695,98,0.3053,0.9844,0.9539,0.9234
0.07,98,0.3053,0.9844,0.9539,0.9234
0.0705,98,0.3053,0.9844,0.9539,0.9234
0.071,98,0.3053,0.9844,0.9539,0.9234
0.0715,98,0.3053,0.9844,0.9539,0.9234
0.072,98,0.3053,0.9844,0.9539,0.9234
0.0725,98,0.3053,0.9844,0.9539,0.9234
0.073,98,0.3053,0.9844,0.9539,0.9234
0.0735,97,0.3022,0.9844,0.9542,0.924
0.074,96,0.2991,0.9844,0.9545,0.9246
0.0745,95,0.296,0.9844,0.9548,0.9252
0.075,94,0.2928,0.9844,0.9551,0.9259
0.0755,94,0.2928,0.9844,0.9551,0.9259
0.076,91,0.2835,0.9844,0.9561,0.9277
0.0765,91,0.2835,0.9844,0.9561,0.9277
0.077,91,0.2835,0.9844,0.9561,0.9277
0.0775,90,0.2804,0.9844,0.9564,0.9283
0.078,89,0.2773,0.9844,0.9567,0.929
0.0785,89,0.2773,0.9844,0.9567,0.929
0.079,86,0.2679,0.9844,0.9576,0.9308
0.0795,86,0.2679,0.9844,0.9576,0.9308
0.08,86,0.2679,0.9844,0.9576,0.9308
0.0805,86,0.2679,0.9844,0.9576,0.9308
0.081,86,0.2679,0.9844,0.9576,0.9308
0.0815,86,0.2679,0.9844,0.9576,0.9308
0.082,86,0.2679,0.9844,0.9576,0.9308
0.0825,86,0.2679,0.9844,0.9576,0.9308
0.083,86,0.2679,0.9844,0.9576,0.9308
0.0835,86,0.2679,0.9844,0.9576,0.9308
0.084,85,0.2648,0.9813,0.9548,0.9283
0.0845,85,0.2648,0.9813,0.9548,0.9283
0.085,85,0.2648,0.9813,0.9548,0.9283
0.0855,84,0.2617,0.9813,0.9551,0.929
0.086,84,0.2617,0.9813,0.9551,0.929
0.0865,83,0.2586,0.9782,0.9523,0.9265
0.087,83,0.2586,0.9782,0.9523,0.9265
0.0875,83,0.2586,0.9782,0.9523,0.9265
0.088,83,0.2586,0.9782,0.9523,0.9265
0.0885,83,0.2586,0.9782,0.9523,0.9265
0.089,83,0.2586,0.9782,0.9523,0.9265
0.0895,83,0.2586,0.9782,0.9523,0.9265
0.09,82,0.2555,0.9782,0.9526,0.9271
0.0905,82,0.2555,0.9782,0.9526,0.9271
0.091,82,0.2555,0.9782,0.9526,0.9271
0.0915,82,0.2555,0.9782,0.9526,0.9271
0.092,82,0.2555,0.9782,0.9526,0.9271
0.0925,81,0.2523,0.9782,0.953,0.9277
0.093,81,0.2523,0.9782,0.953,0.9277
0.0935,81,0.2523,0.9782,0.953,0.9277
0.094,81,0.2523,0.9782,0.953,0.9277
0.0945,81,0.2523,0.9782,0.953,0.9277
0.095,81,0.2523,0.9782,0.953,0.9277
0.0955,81,0.2523,0.9782,0.953,0.9277
0.096,81,0.2523,0.9782,0.953,0.9277
0.0965,81,0.2523,0.9782,0.953,0.9277
0.097,81,0.2523,0.9782,0.953,0.9277
0.0975,81,0.2523,0.9782,0.953,0.9277
0.098,80,0.2492,0.9751,0.9502,0.9252
0.0985,79,0.2461,0.9751,0.9505,0.9259
0.099,78,0.243,0.9751,0.9508,0.9265
0.0995,78,0.243,0.9751,0.9508,0.9265
0.1,78,0.243,0.9751,0.9508,0.9265
0.1005,77,0.2399,0.9751,0.9511,0.9271
0.101,77,0.2399,0.9751,0.9511,0.9271
0.1015,76,0.2368,0.9751,0.9514,0.9277
0.102,76,0.2368,0.9751,0.9514,0.9277
0.1025,74,0.2305,0.9688,0.9458,0.9227
0.103,74,0.2305,0.9688,0.9458,0.9227
0.1035,74,0.2305,0.9688,0.9458,0.9227
0.104,74,0.2305,0.9688,0.9458,0.9227
0.1045,73,0.2274,0.9688,0.9461,0.9234
0.105,73,0.2274,0.9688,0.9461,0.9234
0.1055,72,0.2243,0.9688,0.9464,0.924
0.106,71,0.2212,0.9688,0.9467,0.9246
0.1065,71,0.2212,0.9688,0.9467,0.9246
0.107,71,0.2212,0.9688,0.9467,0.9246
0.1075,71,0.2212,0.9688,0.9467,0.9246
0.108,71,0.2212,0.9688,0.9467,0.9246
0.1085,70,0.2181,0.9688,0.947,0.9252
0.109,69,0.215,0.9688,0.9474,0.9259
0.1095,68,0.2118,0.9688,0.9477,0.9265
0.11,68,0.2118,0.9688,0.9477,0.9265
0.1105,68,0.2118,0.9688,0.9477,0.9265
0.111,68,0.2118,0.9688,0.9477,0.9265
0.1115,68,0.2118,0.9688,0.9477,0.9265
0.112,67,0.2087,0.9657,0.9449,0.924
0.1125,67,0.2087,0.9657,0.9449,0.924
0.113,67,0.2087,0.9657,0.9449,0.924
0.1135,67,0.2087,0.9657,0.9449,0.924
0.114,66,0.2056,0.9626,0.9421,0.9215
0.1145,66,0.2056,0.9626,0.9421,0.9215
0.115,66,0.2056,0.9626,0.9421,0.9215
0.1155,66,0.2056,0.9626,0.9421,0.9215
0.116,66,0.2056,0.9626,0.9421,0.9215
0.1165,66,0.2056,0.9626,0.9421,0.9215
0.117,66,0.2056,0.9626,0.9421,0.9215
0.1175,65,0.2025,0.9626,0.9424,0.9221
0.118,65,0.2025,0.9626,0.9424,0.9221
